"Entrez"	"Symbol"	"SRR2016907"	"SRR2016908"	"SRR2016914"	"SRR2016915"	"SRR2016916"	"SRR2016917"
"100131655"	"ZNF236-DT"	11	3	1	21	13	16
"100131691"	"MZF1-AS1"	24	107	39	68	21	61
"100131726"	"FAM83A-AS1"	94	0	0	0	0	10
"100131733"	"USP30-AS1"	0	10	32	24	7	27
"100131755"	"ARMCX4"	389	169	58	25	256	133
"100131801"	"PET100"	68	93	95	126	142	153
"100131814"	"LINC00271"	0	27	1	6	0	0
"100131816"	"UBE2DNL"	0	0	0	0	0	0
"100131825"	"CADM3-AS1"	0	0	0	0	0	0
"100131827"	"ZNF717"	511	103	14	26	46	79
"100131897"	"INSYN2B"	33	35	50	45	35	32
"100131902"	"KRTAP25-1"	0	0	0	0	0	0
"100131980"	"ZNF705G"	0	0	2	0	0	0
"100131997"	"FAM27E3"	131	120	45	81	15	70
"100131998"	"RRN3P3"	81	410	113	75	244	88
"100132015"	"TEX13D"	0	0	0	0	0	0
"100132057"	"LOC100132057"	57	72	101	218	64	98
"100132062"	"LOC100132062"	13783	17236	27088	25776	25753	39730
"100132074"	"FOXO6"	4	123	0	0	6	0
"100132077"	"LOC100132077"	43	62	42	42	16	33
"100132078"	"LOC100132078"	0	0	0	0	10	0
"100132103"	"FAM66E"	16	40	5	10	21	10
"100132111"	"C2CD4D-AS1"	49	18	6	0	60	0
"100132116"	"ACTA2-AS1"	0	0	2	1	18	0
"100132146"	"FAM240A"	0	0	0	0	0	0
"100132147"	"LINC01783"	0	0	4	0	6	0
